City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,savanna-la-mar,18.219,-78.1332,27.74,73,55,1.5,JM,1698669481
131,port mathurin,-19.6833,63.4167,25.19,77,8,6.07,MU,1698669048
132,pryor,36.3084,-95.3169,0.16,81,0,3.09,US,1698669259
133,port elizabeth,-33.918,25.5701,19.16,54,0,9.77,ZA,1698668926
134,kayes,14.0,-11.0,33.31,39,6,2.26,ML,1698669482
135,georgetown,5.4112,100.3354,28.96,87,20,1.54,MY,1698669014
136,chui,-33.6971,-53.4616,19.35,90,100,5.2,UY,1698669482
137,tadine,-21.55,167.8833,19.61,72,17,3.68,NC,1698669169
138,moree,-29.4667,149.85,23.29,26,0,4.71,AU,1698669177
139,sikasso,10.9167,-7.0,36.67,25,0,2.07,ML,1698669483
140,heidelberg,-26.5048,28.3592,8.3,82,100,4.73,ZA,1698669484
141,punta arenas,-53.15,-70.9167,3.06,48,40,5.66,CL,1698668859
142,egilsstadir,65.2653,-14.3948,-0.05,80,0,1.54,IS,1698669051
143,tiksi,71.6872,128.8694,-19.1,100,100,2.44,RU,1698669036
144,usinsk,65.9939,57.5281,-8.85,81,100,3.13,RU,1698669166
145,bonthe,7.5264,-12.505,29.27,67,100,3.7,SL,1698669485
146,sao tome,0.3365,6.7273,27.84,74,100,1.98,ST,1698669155
147,q'vareli,41.9549,45.8172,20.13,52,39,2.33,GE,1698669485
148,richards bay,-28.783,32.0377,18.78,62,100,6.44,ZA,1698669117
149,iqaluit,63.7506,-68.5145,-11.15,78,75,3.6,CA,1698669025
150,tazacorte,28.629,-17.9293,25.54,96,20,10.29,ES,1698669086
151,chibougamau,49.9168,-74.3659,-3.21,100,100,1.03,CA,1698669097
152,east london,-33.0153,27.9116,17.72,49,12,7.22,ZA,1698669486
153,kindu,-2.95,25.95,34.22,38,99,1.1,CD,1698669070
154,charlotte amalie,18.3419,-64.9307,27.82,100,100,3.09,VI,1698669486
155,pangoa,-12.1167,-73.0,23.64,88,100,0.62,PE,1698669487
156,kamina,-8.7386,24.9906,25.43,65,100,3.47,CD,1698669487
157,cabo san lucas,22.8909,-109.9124,24.17,84,0,0.45,MX,1698668870
158,mahriz,31.5917,54.4318,26.28,16,74,2.44,IR,1698669487
159,malango,-2.9627,119.9001,20.15,92,33,0.87,ID,1698669488
160,luderitz,-26.6481,15.1594,23.09,42,0,2.74,NA,1698669037
161,asind,25.7333,74.3333,27.29,26,68,2.66,IN,1698669488
162,westport,41.1415,-73.3579,14.38,91,100,3.09,US,1698669382
163,bad konig,49.7431,9.0086,16.27,82,100,3.11,DE,1698669488
164,pindwara,24.8,73.0667,27.44,32,57,1.87,IN,1698669489
165,delphos,40.8434,-84.3416,5.54,90,100,5.4,US,1698669489
166,nianzishan,47.5167,122.8833,3.31,20,100,2.02,CN,1698669489
167,mikhaylov,54.2292,39.0186,7.59,89,100,8.15,RU,1698669489
168,mata-utu,-13.2816,-176.1745,28.2,76,11,4.46,WF,1698669088
169,papatowai,-46.5619,169.4708,7.86,96,3,2.69,NZ,1698669029
170,nyazepetrovsk,56.0531,59.6028,-0.01,95,100,4.02,RU,1698669490
171,jamestown,42.097,-79.2353,6.4,99,100,3.6,US,1698668831
172,mo i rana,66.3128,14.1428,-3.71,80,20,2.24,NO,1698669490
